id,city,country,lat,lng,date,youtubeUrl,title
1,東京,日本,35.6762,139.6503,2024-01-01,https://youtube.com/watch?v=example1,世界一周出発！東京から旅が始まる
2,東京,日本,35.6762,139.6503,2024-01-03,https://youtube.com/watch?v=example1b,東京グルメ旅！築地と渋谷を食べ歩き
3,バンコク,タイ,13.7563,100.5018,2024-01-15,https://youtube.com/watch?v=example2,バンコクの街を歩く！タイ料理食べまくり
4,バンコク,タイ,13.7563,100.5018,2024-01-17,https://youtube.com/watch?v=example2b,バンコクの寺院巡り！ワットポーが圧巻
5,ムンバイ,インド,19.076,72.8777,2024-02-01,https://youtube.com/watch?v=example3,カオスなムンバイを探検！
6,ドバイ,UAE,25.2048,55.2708,2024-02-20,https://youtube.com/watch?v=example4,ドバイの超高層ビル群に圧倒される
7,イスタンブール,トルコ,41.0082,28.9784,2024-03-10,https://youtube.com/watch?v=example5,ヨーロッパとアジアの交差点イスタンブール
8,パリ,フランス,48.8566,2.3522,2024-03-25,https://youtube.com/watch?v=example6,パリでエッフェル塔を見上げる
9,ニューヨーク,アメリカ,40.7128,-74.006,2024-04-15,https://youtube.com/watch?v=example7,ニューヨーク上陸！タイムズスクエアから生配信
10,ニューヨーク,アメリカ,40.7128,-74.006,2024-04-17,https://youtube.com/watch?v=example7b,NYセントラルパークでまったり配信
11,メキシコシティ,メキシコ,19.4326,-99.1332,2024-05-01,https://youtube.com/watch?v=example8,メキシコの文化と食を堪能
